stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
62,,South Rd. at Silva Bay,,49.149949,-123.702064,,,,,America/Vancouver,
63,,South Rd. 3200 Block,,49.148704,-123.708922,,,,,America/Vancouver,
64,,South Rd. at Coast Rd.,,49.140668,-123.709739,,,,,America/Vancouver,
65,,South Rd. at Martin Rd.,,49.139348,-123.710103,,,,,America/Vancouver,
66,,South Rd. at Bevmaril Csc. W,,49.139385,-123.715187,,,,,America/Vancouver,
67,,South Rd. at Degnen Bay Rd.,,49.139032,-123.720554,,,,,America/Vancouver,
68,,South Rd. at Cooper Rd.,,49.135238,-123.726588,,,,,America/Vancouver,
69,,South Rd. at Thompson Rd.,,49.134928,-123.731008,,,,,America/Vancouver,
70,,South Rd. at Price Rd.,,49.134759,-123.732929,,,,,America/Vancouver,
71,,Price Rd. at Coho Dr.,,49.131995,-123.733072,,,,,America/Vancouver,
72,,Price Rd. at Blueback Dr.,,49.130348,-123.733114,,,,,America/Vancouver,
73,,Islands View Dr. at Blueback Dr.,,49.129323,-123.736115,,,,,America/Vancouver,
74,,Islands View Dr. at Price Rd.,,49.128238,-123.733045,,,,,America/Vancouver,
75,,Thompson Rd. at Islands View Dr.,,49.128643,-123.73071,,,,,America/Vancouver,
76,,South Rd. 2400 Block (Firehall No. 2),,49.134371,-123.744246,,,,,America/Vancouver,
77,,South Rd. at Degnen Rd.,,49.134612,-123.750355,,,,,America/Vancouver,
78,,South Rd. at Garland Dr. (Community Hall),,49.133206,-123.754243,,,,,America/Vancouver,
79,,South Rd. at Shaw Rd.,,49.131658,-123.755045,,,,,America/Vancouver,
81,,South Rd. at Stokes Rd.,,49.131658,-123.765377,,,,,America/Vancouver,
80,,South Rd. 2100 Block,,49.130173,-123.760079,,,,,America/Vancouver,
82,,South Rd. 1900 Block,,49.133598,-123.770411,,,,,America/Vancouver,
83,,South Rd. at El Verano Dr. E,,49.135721,-123.777314,,,,,America/Vancouver,
84,,El Verano Boat Ramp,,49.135651,-123.779822,,,,,America/Vancouver,
85,,South Rd. at El Verano Dr. W,,49.13776,-123.784398,,,,,America/Vancouver,
86,,South Rd. at Ferne Rd.,,49.139056,-123.785664,,,,,America/Vancouver,
87,,South Rd. at Wharf Rd.,,49.141776,-123.794189,,,,,America/Vancouver,
88,,South Rd. 1200 Block,,49.145268,-123.81076,,,,,America/Vancouver,
89,,South Rd. at Coats Dr.,,49.152097,-123.823731,,,,,America/Vancouver,
90,,South Rd. at Gabriola Golf and Country Club,,49.158106,-123.831644,,,,,America/Vancouver,
91,,South Rd. at Crestwood Rd.,,49.164037,-123.83748,,,,,America/Vancouver,
92,,South Rd. at Dogwood Csc. E,,49.166762,-123.838685,,,,,America/Vancouver,
93,,South Rd. at Dogwood Csc. W,,49.168247,-123.842564,,,,,America/Vancouver,
94,,Malaspina Dr. at Lubbock Rd.,,49.189654,-123.861832,,,,,America/Vancouver,
95,,Malaspina Dr. at Lloyd Csc.,,49.189789,-123.865306,,,,,America/Vancouver,
96,,Malaspina Galleries,,49.191337,-123.870677,,,,,America/Vancouver,
97,,Taylor Bay Rd. at Davis Rd.,,49.190922,-123.858092,,,,,America/Vancouver,
98,,Stephens Rd. at Berg Rd.,,49.167712,-123.853637,,,,,America/Vancouver,
