shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Southbound,53.520429,-113.495937,53,2.938
Southbound,53.520344,-113.495737,54,2.954
Southbound,53.52026,-113.495592,55,2.968
Southbound,53.520151,-113.495409,56,2.985
Southbound,53.520015,-113.495232,57,3.004
Southbound,53.519861,-113.495069,58,3.024
Southbound,53.519748,-113.494945,59,3.039
Southbound,53.519614,-113.494824,60,3.056
Southbound,53.519412,-113.494706,61,3.08
Southbound,53.519237,-113.494626,62,3.1
Southbound,53.51895,-113.494583,63,3.132
Southbound,53.518404,-113.494504,64,3.193
Southbound,53.518353,-113.494494,65,3.199
Southbound,53.51831,-113.494486,66,3.204
Southbound,53.518274,-113.494478,67,3.208
Southbound,53.518243,-113.494474,68,3.211
